order,conditionedCat,trial,stim_cat_enc,stim_number_enc,stim_cat_left,stim_number_left,stim_name_left,stim_cat_superord_left,stim_cat_right,stim_number_right,stim_name_right,stim_cat_superord_right,corr_cat,corr_resp
8,2,1,2,184,2,248,stimuli/tools/cart.jpg,Household,2,184,stimuli/tools/fishtailchisel.jpg,Toolbox,2,2
8,2,2,2,235,2,238,stimuli/tools/edger.jpg,Powertools,2,235,stimuli/tools/bottleopener.jpg,Household,2,2
8,2,3,2,342,2,313,stimuli/tools/airpump.jpg,Household,2,342,stimuli/tools/crank.jpg,Toolbox,2,2
8,2,4,1,23,1,23,stimuli/animals/mountainsheep.jpg,Mammals,1,137,stimuli/animals/springhare.jpg,Mammals,1,1
8,2,5,1,68,1,68,stimuli/animals/camel.jpg,Mammals,1,43,stimuli/animals/flamingo.jpg,Birds,1,1
8,2,6,2,350,2,347,stimuli/tools/blackboard.jpg,Household,2,350,stimuli/tools/beadingtool.jpg,Toolbox,2,2
8,2,7,2,217,2,217,stimuli/tools/blower.jpg,Powertools,2,326,stimuli/tools/ropeandpulley.jpg,Household,2,1
8,2,8,1,10,1,10,stimuli/animals/chicken.jpg,Birds,1,134,stimuli/animals/caracal.jpg,Mammals,1,1
8,2,9,1,138,1,115,stimuli/animals/boar.jpg,Mammals,1,138,stimuli/animals/angelfish.jpg,SeaDwellers,1,2
8,2,10,2,339,2,343,stimuli/tools/duster.jpg,Household,2,339,stimuli/tools/weldinghelmet.jpg,Toolbox,2,2
8,2,11,1,97,1,97,stimuli/animals/hedgehog.jpg,Mammals,1,116,stimuli/animals/caiman.jpg,ReptilesAmph,1,1
8,2,12,2,232,2,335,stimuli/tools/binoculars.jpg,Household,2,232,stimuli/tools/umbrella.jpg,Household,2,2
8,2,13,1,149,1,149,stimuli/animals/quail.jpg,Birds,1,131,stimuli/animals/hermitcrab.jpg,SeaDwellers,1,1
8,2,14,1,166,1,93,stimuli/animals/gerbil.jpg,Mammals,1,166,stimuli/animals/ibises.jpg,Birds,1,2
8,2,15,1,8,1,4,stimuli/animals/cow.jpg,Mammals,1,8,stimuli/animals/lion.jpg,Mammals,1,2
8,2,16,2,300,2,297,stimuli/tools/nails.jpg,Toolbox,2,300,stimuli/tools/digitalcamera.jpg,Devices,2,2
8,2,17,2,245,2,245,stimuli/tools/padlock.jpg,Household,2,199,stimuli/tools/vicegrips.jpg,Toolbox,2,1
8,2,18,2,351,2,276,stimuli/tools/scratchawl.jpg,Toolbox,2,351,stimuli/tools/beaker.jpg,Household,2,2
8,2,19,1,110,1,110,stimuli/animals/beta.jpg,SeaDwellers,1,120,stimuli/animals/sugarglider.jpg,Mammals,1,1
8,2,20,2,333,2,208,stimuli/tools/stapler.jpg,Household,2,333,stimuli/tools/treadmill.jpg,Devices,2,2
8,2,21,1,29,1,95,stimuli/animals/prairiedog.jpg,Mammals,1,29,stimuli/animals/penguin.jpg,Birds,1,2
8,2,22,1,105,1,105,stimuli/animals/lizard.jpg,ReptilesAmph,1,65,stimuli/animals/minnow.jpg,SeaDwellers,1,1
8,2,23,1,91,1,128,stimuli/animals/cod.jpg,SeaDwellers,1,91,stimuli/animals/bat.jpg,Mammals,1,2
8,2,24,2,183,2,183,stimuli/tools/wrench.jpg,Toolbox,2,311,stimuli/tools/curlingiron.jpg,Household,2,1
8,2,25,1,150,1,19,stimuli/animals/panda.jpg,Mammals,1,150,stimuli/animals/millipede.jpg,Invertebrates,1,2
8,2,26,1,73,1,73,stimuli/animals/pike.jpg,SeaDwellers,1,119,stimuli/animals/stickinsect.jpg,Invertebrates,1,1
8,2,27,2,233,2,233,stimuli/tools/weedeater.jpg,Powertools,2,360,stimuli/tools/engine.jpg,Devices,2,1
8,2,28,2,215,2,215,stimuli/tools/trowel.jpg,Toolbox,2,282,stimuli/tools/keys.jpg,Household,2,1
8,2,29,1,88,1,88,stimuli/animals/blackleopard.jpg,Mammals,1,9,stimuli/animals/rooster.jpg,Birds,1,1
8,2,30,2,213,2,213,stimuli/tools/sledgehammer.jpg,Toolbox,2,219,stimuli/tools/handsander.jpg,Powertools,2,1
8,2,31,1,102,1,83,stimuli/animals/dramaderry.jpg,Mammals,1,102,stimuli/animals/ferret.jpg,Mammals,1,2
8,2,32,2,209,2,209,stimuli/tools/broom.jpg,Household,2,349,stimuli/tools/faxmachine.jpg,Devices,2,1
8,2,33,1,94,1,59,stimuli/animals/rainbowtrout.jpg,SeaDwellers,1,94,stimuli/animals/jackal.jpg,Mammals,1,2
8,2,34,1,25,1,25,stimuli/animals/orangutan.jpg,Mammals,1,117,stimuli/animals/cricket.jpg,Invertebrates,1,1
8,2,35,2,225,2,225,stimuli/tools/gardenhose.jpg,Household,2,206,stimuli/tools/monkeywrench.jpg,Toolbox,2,1
8,2,36,1,144,1,26,stimuli/animals/rhino.jpg,Mammals,1,144,stimuli/animals/skunk.jpg,Mammals,1,2
8,2,37,1,114,1,52,stimuli/animals/otter.jpg,Mammals,1,114,stimuli/animals/snapper.jpg,SeaDwellers,1,2
8,2,38,1,15,1,15,stimuli/animals/brown_bear.jpg,Mammals,1,82,stimuli/animals/yak.jpg,Mammals,1,1
8,2,39,2,267,2,214,stimuli/tools/toolbox.jpg,Toolbox,2,267,stimuli/tools/corkscrew.jpg,Household,2,2
8,2,40,1,33,1,33,stimuli/animals/cheetah.jpg,Mammals,1,38,stimuli/animals/fox.jpg,Mammals,1,1
8,2,41,2,240,2,201,stimuli/tools/electricdrill.jpg,Powertools,2,240,stimuli/tools/rollingpin.jpg,Household,2,2
8,2,42,1,126,1,126,stimuli/animals/redpanda.jpg,Mammals,1,158,stimuli/animals/pachnoda.jpg,Invertebrates,1,1
8,2,43,1,56,1,142,stimuli/animals/palmcockatoo.jpg,Birds,1,56,stimuli/animals/donkey.jpg,Mammals,1,2
8,2,44,2,316,2,316,stimuli/tools/grapplinghook.jpg,Toolbox,2,253,stimuli/tools/pencil.jpg,Household,2,1
8,2,45,2,356,2,211,stimuli/tools/paintbrush.jpg,Household,2,356,stimuli/tools/videogamecontroller.jpg,Devices,2,2
8,2,46,1,174,1,47,stimuli/animals/bluejay.jpg,Birds,1,174,stimuli/animals/malaysianjunglenymph.jpg,Invertebrates,1,2
8,2,47,2,249,2,187,stimuli/tools/saw.jpg,Toolbox,2,249,stimuli/tools/kettle.jpg,Household,2,2
8,2,48,2,212,2,189,stimuli/tools/measuringtape.jpg,Toolbox,2,212,stimuli/tools/scissors.jpg,Toolbox,2,2
8,2,49,1,7,1,7,stimuli/animals/sheep.jpg,Mammals,1,96,stimuli/animals/toucan.jpg,Birds,1,1
8,2,50,2,301,2,301,stimuli/tools/electricsander.jpg,Powertools,2,197,stimuli/tools/screwdriver.jpg,Toolbox,2,1
8,2,51,2,289,2,286,stimuli/tools/sander.jpg,Toolbox,2,289,stimuli/tools/sprinkler.jpg,Household,2,2
8,2,52,1,164,1,27,stimuli/animals/tortoise.jpg,ReptilesAmph,1,164,stimuli/animals/shieldbug.jpg,Invertebrates,1,2
8,2,53,2,216,2,330,stimuli/tools/foodprocessor.jpg,Household,2,216,stimuli/tools/viceclamp.jpg,Toolbox,2,2
8,2,54,1,42,1,42,stimuli/animals/frog.jpg,ReptilesAmph,1,177,stimuli/animals/rosechafer.jpg,Invertebrates,1,1
8,2,55,2,247,2,336,stimuli/tools/chainwrench.jpg,Toolbox,2,247,stimuli/tools/razorblade.jpg,Household,2,2
8,2,56,1,32,1,180,stimuli/animals/assassinbug.jpg,Invertebrates,1,32,stimuli/animals/turtle.jpg,ReptilesAmph,1,2
8,2,57,2,203,2,203,stimuli/tools/chainsaw.jpg,Powertools,2,194,stimuli/tools/hoe.jpg,Toolbox,2,1
8,2,58,2,280,2,280,stimuli/tools/cheesegrater.jpg,Household,2,304,stimuli/tools/watch.jpg,Devices,2,1
8,2,59,1,123,1,71,stimuli/animals/butterfly.jpg,Invertebrates,1,123,stimuli/animals/earthworm.jpg,Invertebrates,1,2
8,2,60,2,331,2,223,stimuli/tools/rake.jpg,Household,2,331,stimuli/tools/gentssaw.jpg,Toolbox,2,2
